Mod,WR (Main cat.),WR for,Runners,Difficulty,Optimization,Guides,Segmented/TAS,Extra,RTSL,ModDB,Steam,HL1 mov,Tags,,,,,,,,,,,,,WR for
Entropy : Zero 2,55:26 / Lyren,917 days,3,★★★★☆,★★☆☆☆,-,SourceRuns 28:36,-,🞪,🞪,✓,?,"Propclip, rubby, voidclip",,,,,,,,,,,,,917 
Episode One,13:38 / owerfloww,331 days,3,★★☆☆☆,★★★☆☆,-,-,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,331 
Episode 3: The Closure,1:43:34 / Lyren,1012 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,"Propclip, state preserve (timescale, gravity)",,,,,,,,,,,,,1012 
Estranged: Act I,16:21 / Lyren,1456 days,8,★★★★☆,☆☆☆☆☆,-,SourceRuns 9:52.632,-,✓,✓,✓,?,,,,,,,,,,,,,,1456 
Evacuation,4:26.04 / Lyren,796 days,3,★★★★★,★★☆☆☆,-,SourceRuns 52.275,-,🞪,✓,✓,?,State preserve (gravity),,,,,,,,,,,,,796 
EXIT,6:55.050 / Lyren,187 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,
EXIT 2,15:53 / VehicleRonald,1339 days,4,★★☆☆☆,★★☆☆☆,-,-,-,🞪,✓,🞪,✓,Propclip,,,,,,,,,,,,,1339 
Expectation,57.84 / Lyren,326 days,1,★☆☆☆☆,☆☆☆☆☆,-,VehicleRonald's 47.783,-,🞪,✓,🞪,?,,,,,,,,,,,,,,
Experimental Fuel,6.570 / Lyren,168 days,4,★★★☆☆,★★★★☆,-,-,-,✓,✓,🞪,?,,,,,,,,,,,,,,168 
Forest Train,2:55.005 / Lyren,113 days,7,★☆☆☆☆,★★★☆☆,-,-,-,✓,🞪,🞪,?,,,,,,,,,,,,,,113 
Garry's Mod (HL Co-Op),1:02:01 / Medved12,1830 days,2,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,🞪,✓,?,Multiplayer,,,,,,,,,,,,,1830 
Get a Life,43:18 / Lyren,268 days,3,☆☆☆☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,?,?,,,,,,,,,,,,,268 
Gnome,12:39 / Lyren,1544 days,1,★★★☆☆,★★☆☆☆,-,-,-,✓,✓,🞪,?,?,,,,,,,,,,,,,1544 
Gordon Freakman,14:01 / Lyren,772 days,5,★★★☆☆,★★☆☆☆,-,-,-,🞪,✓,🞪,?,?,,,,,,,,,,,,,772 
Gordon Freakman 2: Kleiner-Life,31:00 / Lyren,330 days,5,☆☆☆☆☆,☆☆☆☆☆,-,-,-,🞪,✓,🞪,?,?,,,,,,,,,,,,,330 
Goreagulation,6:21.13 / Lyren,490 days,1,★★☆☆☆,★★☆☆☆,-,-,-,🞪,✓,🞪,🞪,,,,,,,,,,,,,,490 
Grey,17:08 / Lyren,1277 days,3,★★☆☆☆,★★★☆☆,Guide by MPy,MPy's 10:46.150,-,✓,✓,🞪,🞪,?,,,,,,,,,,,,,1277 
Half-Life 2 Alone Mod,31:32.165 / Nikitos,39 days,3,☆☆☆☆☆,☆☆☆☆☆,-,-,-,,,,?,,,,,,,,,,,,,,
Half-Life 2: Deep Down,5:17.160 / Lyren,124 days,7,★★☆☆☆,☆☆☆☆☆,-,Rama's 5:25,-,✓,✓,🞪,?,,,,,,,,,,,,,,124 
Half-Life 2: Deeper Down,8:41.115 / PenPerson,536 days,2,★★★☆☆,☆☆☆☆☆,-,Peng's 4:19,-,✓,✓,🞪,?,?,,,,,,,,,,,,,536 
Half-Life 2: DownFall,54.435 / Lyren,59 days,26,★★★★☆,★★★★★,"Advanced/Newer, Outdated/Thorough",SourceRuns 49.710,-,🞪,🞪,✓,?,,,,,,,,,,,,,,59 
Half-Life 2: Genry's Great Escape From City 13,5:58.575 / PenPerson,1426 days,4,★★☆☆☆,★★☆☆☆,-,-,-,🞪,🞪,✓,?,?,,,,,,,,,,,,,1426 
Half-Life 2: Offshore,14:25 / PenPerson,1387 days,4,★★★☆☆,☆☆☆☆☆,-,-,-,✓,✓,🞪,✓,Free OOB,,,,,,,,,,,,,1387 
Half-Life 2: Reject,1:48.31 / Lyren,1464 days,3,★☆☆☆☆,★★☆☆☆,-,-,-,✓,🞪,🞪,?,Propclip,,,,,,,,,,,,,1464 
Half-Life 2: Riot Act,3:57.15 / Lyren,413 days,6,☆☆☆☆☆,☆☆☆☆☆,-,Rama's 2:22.905,-,✓,✓,🞪,partly,NPC Clip,,,,,,,,,,,,,413 
Half-Life 2: Sniper's Episode,5.61 / Lyren,644 days,22,★☆☆☆☆,★★★★☆,-,-,Tomsk45 marathon | download,🞪,🞪,🞪,?,Edgebug,,,,,,,,,,,,,644 
Half-Life 2: Uncertainty Principle,12:54.48 / Lyren,793 days,6,★★★★☆,★★★☆☆,-,SourceRuns 5:17.595,Lyren '19 marathon / Dirtch '24 marathon,✓,✓,🞪,✓,?,,,,,,,,,,,,,793 
Half-Life 2: Year Long Alarm,1:16.78 / Lyren,790 days,5,★★★★☆,★★★☆☆,-,Rama's 1:27,-,✓,✓,✓,✓,,,,,,,,,,,,,,790 
Half-Life 3: Citadel Unleashed,18:22 / Lyren,497 days,1,☆☆☆☆☆,★☆☆☆☆,-,-,-,🞪,✓,🞪,?,,,,,,,,,,,,,,497 
Half-Life: Abridged,1:06:54 / Lyren,1990 days,2,★★★☆☆,★☆☆☆☆,-,-,-,✓,✓,🞪,?,Propclip,,,,,,,,,,,,,1990 
Half-Life: Elude,1:55 / Lyren (not re-timed),,,,,,,,,,,,,,,,,,,,,,,,,
